bank,portfolio,STAGE,am,rate_init,rate,am19,rate_init19,rate19
TBC,CORP,ST1_2,750779,0.1693,0.1667,126154,0.0435,0.0344
TBC,CORP,ST3_2,0,0,0,10972,0.0811,0.0855
TBC,CORP,ST1_3,57281,0.0129,0.0127,27531,0.0095,0.0075
TBC,CORP,ST2_3,14021,0.1343,0.0265,5261,0.0379,0.0433
TBC,CORP,ST2_1,20142,0.1929,0.038,71151,0.5129,0.5853
TBC,CORP,ST3_1,0,0,0,1333,0.0099,0.0104
TBC,MSME,ST1_2,539299,0.2035,0.203,181576,0.0821,0.0747
TBC,MSME,ST3_2,7023,0.0753,0.0394,5005,0.0539,0.0538
TBC,MSME,ST1_3,103564,0.0391,0.039,51354,0.0232,0.0211
TBC,MSME,ST2_3,83981,0.4103,0.2009,42338,0.2192,0.2128
TBC,MSME,ST2_1,30770,0.1503,0.0736,48292,0.25,0.2428
TBC,MSME,ST3_1,431,0.0046,0.0024,801,0.0086,0.0086
TBC,CONS,ST1_2,165248,0.1037,0.1049,166459,0.1014,0.1029
TBC,CONS,ST3_2,12766,0.1727,0.0976,9969,0.1218,0.128
TBC,CONS,ST1_3,114927,0.0721,0.073,60362,0.0368,0.0373
TBC,CONS,ST2_3,58650,0.2705,0.2423,67012,0.2522,0.2778
TBC,CONS,ST2_1,39544,0.1824,0.1634,80023,0.3012,0.3317
TBC,CONS,ST3_1,542,0.0073,0.0041,1430,0.0175,0.0184
TBC,IPO,ST1_2,379394,0.132,0.1277,172796,0.0699,0.0647
TBC,IPO,ST3_2,17374,0.2702,0.101,9948,0.2252,0.1834
TBC,IPO,ST1_3,180575,0.0628,0.0608,12481,0.0051,0.0047
TBC,IPO,ST2_3,38836,0.168,0.0941,23593,0.1214,0.1109
TBC,IPO,ST2_1,24938,0.1084,0.0604,64675,0.3327,0.3039
TBC,IPO,ST3_1,112,0.0017,0.0007,1838,0.0416,0.0339
BOG,CORP,ST1_2,578928,0.017,0.1502,858838,0.3873,0.3052
BOG,CORP,ST3_2,47622,0.2944,0.236,24384,0.1006,0.1207
BOG,CORP,ST1_3,58408,0.0171,0.0152,10482,0.0047,0.0037
