Bank,Portfolio,Date,ST1,ST2,ST3,POCI,Total,AM_ST1,AM_ST2,AM_ST3,AM_POCI,Total_AM
BOG,CORP,2019,0.26%,0.98%,48.22%,3.93%,2.31%,3410544,349494,161744,7661,3929443
BOG,MSME,2019,0.53%,5.13%,21.08%,50.09%,1.67%,2426866,113130,118475,1749,2660220
BOG,CONS,2019,0.91%,5.76%,46.36%,2.20%,3.49%,1856795,110158,106391,9741,2083085
BOG,IPO,2019,0.02%,0.10%,6.02%,5.60%,0.29%,2764959,160038,109413,32273,3066683
BOG,PAWN,2019,0.01%,0.09%,6.72%,,0.30%,80795,1114,3631,,85540
TBC,CORP,2019,1.13%,3.60%,32.21%,,2.57%,2903315,138713,135261,,3177289
TBC,MSME,2019,0.87%,11.59%,31.63%,,2.84%,2210725,193049,92820,,2496594
TBC,CONS,2019,2.61%,22.30%,66.68%,,7.88%,1641993,265673,81850,,1989516
TBC,IPO,2019,0.07%,4.71%,31.75%,,0.92%,2470603,194410,44170,,2709183
TBC,OTH,2019,9.74%,18.92%,31.57%,,15.41%,134977,74,47302,,182353
LIB,RETAIL,2019,2.44%,35.91%,91.45%,,11.10%,402711,5520,42151,,450382
LIB,CORP/SME,2019,1.19%,42.31%,78.58%,,1.60%,189502,52,985,,190539
LIB,CONS,2019,4.61%,37.79%,82.84%,,25.28%,112937,11861,37974,,162772
LIB,IPO,2019,0.82%,16.41%,59.53%,,1.98%,60094,658,1112,,61864
LIB,MICRO,2019,1.27%,42.66%,74.46%,,10.64%,93298,3746,11810,,108854
VTB,SME,2019,0.44%,2.66%,31.42%,,0.86%,212221,188,2966,,215375
VTB,CORP,2019,0.61%,1.67%,27.81%,,1.82%,433755,17543,20303,,471601
VTB,CONS,2019,0.95%,15.30%,75.01%,,4.60%,467099,4809,23527,,495435
BAS,CORP,2019,0.27%,0.44%,26.14%,,1.56%,667811,89726,39414,,796951
BAS,IPO,2019,0.19%,0.60%,10.92%,,0.98%,123688,3823,10063,,137574
BAS,CONS,2019,0.63%,0.73%,26.54%,,2.22%,54509,3271,3760,,61540
BAS,CARD,2019,0.00%,0.94%,64.16%,,5.75%,0,4031,332,,4363
PCB,SME,2019,0.62%,4.29%,51.09%,,2.15%,1025618,36492,30492,,1092602
TERA,MSME,2019,0.58%,21.78%,31.83%,,2.55%,497333,17281,22228,,536842
TERA,IPO,2019,0.28%,8.97%,41.56%,,1.20%,87833,1918,1629,,91380
TERA,CONS,2019,0.78%,14.02%,46.00%,,3.62%,88290,3145,5128,,96563
TERA,PAWN,2019,0.00%,0.00%,67.41%,,25.59%,31046,0,18996,,50042
IS,CORP,2019,0.17%,0.00%,0.00%,,0.16%,126884,0,1632,,128516
IS,SME,2019,0.17%,0.00%,6.85%,,1.38%,15236,0,3358,,18594
IS,CONS,2019,0.78%,12.99%,40.53%,,9.24%,2705,77,723,,3505
IS,IPO,2019,0.27%,0.64%,2.43%,,0.39%,5175,156,288,,5619
CARTU,CORP,2019,0.60%,1.50%,28.17%,25.65%,11.64%,520940,46063,278275,115466,960744
CARTU,RETAIL,2019,0.34%,5.73%,26.90%,,5.45%,25382,733,6038,,32153
PASHA,CORP,2019,1.13%,0.00%,83.93%,,1.57%,158010,0,840,,158850
PASHA,MSME,2019,2.09%,12.06%,0.00%,,2.22%,141304,1808,0,,143112
PASHA,CONS,2019,6.43%,21.69%,100.00%,,7.74%,1523,83,9,,1615
ZIR,IPO,2019,0.09%,5.59%,52.52%,,2.26%,5769,222,234,,6225
ZIR,CONS,2019,0.15%,6.41%,52.66%,,1.07%,2682,6.6,47,,2735.6
ZIR,MSME,2019,0.10%,5.32%,52.64%,,1.29%,34660,6189,324.3,,41173.3
FINCA,SMALL,2019,2.06%,19.41%,83.15%,,17.09%,10835.5,412.6,2450,,13698.1
FINCA,LARGE,2019,1.25%,16.53%,83.88%,,8.27%,176225,16411.5,14570,,207206.5
HALYK,TOTAL,2019,0.88%,1.81%,9.65%,,1.81%,370392,14616,43706,,428714
SILK,RETAIL,2019,5.69%,40.56%,65.51%,,24.34%,5058,609,2050,,7717
SILK,CORP/SME,2019,1.87%,0.00%,17.08%,,3.97%,6562,0,1048,,7610
CREDO,MICRO,2019,0.71%,13.23%,72.30%,,1.36%,596913,14605,3025,,614543
CREDO,SME,2019,0.40%,14.43%,46.93%,,1.04%,162681,5959,505,,169145
CREDO,PAWN,2019,1.64%,3.33%,0.00%,,1.65%,3898,30,0,,3928
CREDO,CONS,2019,1.60%,22.47%,79.19%,,2.12%,57411,632,221,,58264
BOG,CORP,2020,0.66%,2.13%,56.48%,0.08%,3.51%,4296883,382118,241821,8376,4929198
BOG,MSME,2020,0.99%,4.68%,31.31%,1.84%,3.13%,2649107,439405,177471,3471,3269454
BOG,CONS,2020,2.13%,13.14%,46.20%,12.10%,5.15%,1904182,194366,100950,8515,2208013
BOG,IPO,2020,0.26%,3.63%,14.94%,12.81%,1.28%,3287844,314215,168959,25849,3796867
BOG,PAWN,2020,0.04%,0.41%,9.95%,,0.24%,97776,3879,1729,0,103384
TBC,CORP,2020,1.18%,0.86%,28.16%,,1.89%,4574133,955187,161429,,5690749
TBC,MSME,2020,0.92%,7.42%,33.68%,,4.50%,2661786,631347,262946,,3556079
TBC,CONS,2020,3.11%,24.82%,67.70%,,12.02%,1556559,267296,187730,,2011585
TBC,IPO,2020,0.11%,3.62%,25.73%,,2.46%,3068080,594296,279726,,3942102
TBC,OTH,2020,15.66%,0.00%,70.93%,,20.31%,184241,634,17155,,202030
LIB,RETAIL,2020,,,,,,,,,,
LIB,CORP/SME,2020,,,,,,,,,,
LIB,CONS,2020,,,,,,,,,,
LIB,IPO,2020,,,,,,,,,,
LIB,MICRO,2020,,,,,,,,,,
VTB,MICRO,2020,0.12%,0.85%,15.71%,,0.36%,219752,16809,2870,,239431
VTB,CORP,2020,0.91%,3.33%,21.23%,,1.49%,525281,31054,12710,,569045
VTB,CONS,2020,0.91%,7.00%,87.16%,,4.65%,578217,21502,25582,,625301
BAS,IUR.PIR,2020,0.25%,1.40%,28.10%,,2.42%,755338,63715,66285,,885338
BAS,IPO,2020,0.08%,0.13%,23.52%,,1.92%,135879,5568,12073,,153520
BAS,CONS,2020,0.62%,0.56%,27.63%,,2.55%,51625,3575,4249,,59449
BAS,CARD,2020,0.84%,0.92%,42.53%,,5.68%,2014,649,348,,3011
PCB,SME,2020,0.79%,6.05%,54.67%,25.28%,2.71%,1274576,74702,41401,2033,1392712
TERA,MSME,2020,0.66%,12.70%,31.75%,,4.54%,510337,153866,26686,,690889
TERA,IPO,2020,0.26%,8.88%,47.21%,,1.92%,100105,11508,1885,,113498
TERA,CONS,2020,0.74%,13.38%,43.36%,,4.05%,87538,9382,5134,,102054
TERA,PAWN,2020,0.00%,0.00%,0.00%,,0.00%,30053,0,0,,30053
IS,CORP,2020,0.28%,0.00%,1.98%,,0.29%,206043,0,1865,,207908
IS,SME,2020,0.10%,38.46%,4.76%,,0.61%,20422,39,2166,,22627
IS,CONS,2020,0.84%,0.00%,40.91%,,8.06%,2628,64,594,,3286
IS,IPO,2020,0.97%,0.69%,0.95%,,0.96%,2773,144,1269,,4186
CARTU,CORP,2020,1.50%,0.47%,29.68%,43.89%,13.50%,651975,50595,379369,77021,1158960
CARTU,RETAIL,2020,0.49%,2.71%,24.14%,,6.53%,20579,3030,7722,,31331
PASHA,CORP,2020,1.06%,9.69%,0.00%,,3.08%,122244,37390,0,,159634
PASHA,COMERC,2020,2.65%,16.64%,37.11%,,7.12%,120487,43327,4204,,168018
PASHA,CONS,2020,5.28%,14.94%,100.00%,,6.13%,9163,783,9,,9955
ZIR,IPO,2020,1.16%,17.11%,60.09%,,5.54%,6010,695.6,334.5,,7040.1
ZIR,CONS,2020,1.19%,15.91%,55.44%,,2.05%,3216.3,19.3,46.3,,3281.9
ZIR,CORP/SME,2020,0.25%,4.76%,53.89%,,1.59%,35817,11781.5,207,,47805.5
FINCA,SMALL,2020,2.08%,12.28%,75.97%,,13.01%,9507.3,952.6,1660.6,,12120.6
FINCA,LARGE,2020,1.02%,8.32%,71.65%,,8.75%,134730,49948.3,16897.75,,201576
HALYK,TOTAL,2020,1.37%,3.72%,10.74%,,3.73%,252222,198889,85221,,536332
SILK,RETAIL,2020,0.00%,6.73%,23.72%,,9.20%,196,5454,1054,,6704
SILK,CORP/SME,2020,3.49%,24.29%,50.05%,,13.90%,4067,564,1009,,5640
CREDO,PAWN,2020,0.36%,17.03%,52.38%,,1.78%,4158,317,21,,4496
CREDO,SME,2020,0.51%,11.05%,55.08%,,3.32%,151605,51672,532,,203809
CREDO,CONS,2020,1.79%,24.71%,84.56%,,4.55%,230718,6326,6347,,243391
CREDO,MICRO,2020,0.92%,12.79%,70.17%,,2.47%,563407,49104,5388,,617899
