Bank,Portfolio,Date,ST1,ST2,ST3,POCI
BOG,CORP,2019,0.867945915,0.088942377,0.041162068,0.00194964
BOG,MSME,2019,0.912280187,0.042526558,0.04453579,0.000657464
BOG,CONS,2019,0.891367851,0.052882144,0.051073768,0.004676237
BOG,IPO,2019,0.901612263,0.052186026,0.035677962,0.010523748
BOG,PAWN,2019,0.944528875,0.013023147,0.042447978,0
TBC,CORP,2019,0.951552557,0.022403091,0.026044352,
TBC,MSME,2019,0.898917979,0.069429996,0.031652025,
TBC,CONS,2019,0.845677774,0.115082967,0.039239259,
TBC,IPO,2019,0.906767866,0.072942452,0.020289682,
TBC,OTH,2019,0.886779666,0.000171141,0.113049193,
LIB,RETAIL,2019,0.930969828,0.012103717,0.056926455,
LIB,CORP,2019,0.936992463,0.061637225,0.001370312,
LIB,CONS,2019,0.747760936,0.034371059,0.217868005,
LIB,IPO,2019,0.964575781,0.015876658,0.019547561,
LIB,MICRO,2019,0.837684417,0.041479788,0.120835795,
LIB,PAWN,2019,0.982144911,0.002276051,0.015579037,
VTB,SME,2019,0.985355775,0.000872896,0.013771329,
VTB,CORP,2019,0.919749958,0.037198818,0.043051223,
VTB,CONS,2019,0.942805817,0.009706621,0.047487561,
BAS,CORP,2019,0.837957415,0.112586596,0.049455989,
BAS,IPO,2019,0.89906523,0.027788681,0.073146089,
BAS,CONS,2019,0.885749106,0.053152421,0.061098473,
BAS,CARD,2019,0,0.92390557,0.07609443,
PCB,SME,2019,0.937717316,0.03336445,0.02787868,0.001039553
TERA,MSME,2019,0.926404789,0.032190104,0.041405106,
TERA,IPO,2019,0.961184067,0.020989276,0.017826658,
TERA,CONS,2019,0.914325363,0.032569411,0.053105227,
TERA,PAWN,2019,0.620398865,0,0.379601135,
IS,CORP,2019,0.987301192,0,0.012698808,
IS,SME,2019,0.819404109,0,0.180595891,
IS,CONS,2019,0.771754636,0.021968616,0.206276748,
IS,IPO,2019,0.920982381,0.027762947,0.051254672,
CARTU,CORP,2019,0.542225608,0.047945134,0.289645317,0.120183941
CARTU,RETAIL,2019,0.789413119,0.022797251,0.187789631,0
PASHA,CORP,2019,0.994711992,0,0.005288008,
PASHA,MSME,2019,0.987366538,0.012633462,0,
